"Week","S08000015","S08000016","S08000017","S08000029","S08000019","S08000020","S08000031","S08000022","S08000032","S08000024","S08000030"
2020-03-02,0.0634809905824904,0.08521906596052,0,0.262040816326531,0.124901185770751,0.400271186440678,0.0358933671850206,0,0.0553327484647199,0.11800806306821,0.137885923600209
2020-03-09,0.104230796764264,0.127315231073548,0.104440275171982,0.232925170068027,0.221240844463593,0.289411764705882,0.137726266627508,0.165898617511521,0.171862570872472,0.116751269035533,0.264334305150632
2020-03-16,0.25732737208147,0.34087626384208,0.267628205128205,0.417938517179024,0.393524283935243,0.243463917525773,0.375031680859692,0.311878917596698,0.361933837923407,0.440406091370558,0.3821609862219
2020-03-23,0.69287545645249,1,0.663958513396716,0.694805194805195,0.887905311318878,0.614481012658228,0.771853302474631,0.630950689214154,0.828925559222589,0.715677526002428,0.775927500629882
2020-03-30,0.652807598070171,0.950550983400753,0.700699300699301,1,0.868330661781543,0.855011235955056,1,1,1,1,0.960325138332233
2020-04-06,1,0.579340141398272,0.664212575103664,0.866281625351393,0.97776560788609,1,0.859731604479304,0.747497219132369,0.924899461850451,0.931330652559477,1
2020-04-13,0.715475490891406,0.308208955223881,1,0.859821428571429,1,0.68111004784689,0.591769282972342,0.422100205902539,0.68474559112353,0.983489154187209,0.758125472411187
2020-04-20,0.492905761671939,0.377398720682303,0.196124486200822,0.698279220779221,0.827810818465024,0.882097087378641,0.577463824543689,0.229783473265577,0.592393009792783,0.902931853015958,0.629582861352002
2020-04-27,0.295406589839312,0.0697656085768341,0.0892094017094017,0.243176865899603,0.348798494499131,0.240859701492537,0.352774619582213,0.292762266196801,0.321086812289476,0.382138183701834,0.317087845968712
2020-05-04,0.259122157588577,0.0798343447597179,0.0397221825793254,0.110332975295381,0.191603244961111,0.277142648668369,0.237858306206921,0.0680909013533067,0.286492205889343,0.354169406380684,0.209126984126984
2020-05-11,0.138772398017537,0.174118046132971,0.0247995247995248,0.0565909744179362,0.146275050827766,0.152494240837696,0.110508008352658,0.0397949954778414,0.184499456739991,0.188233000921448,0.250473214802324
2020-05-18,0.0809784650675315,0.0127315231073548,0.0655894069460809,0.0721767784454352,0.0612086776859504,0.0867392931392931,0.0677565699452393,0.0141663961278517,0.120275513355752,0.128958056426829,0.129147322704933
2020-05-25,0.0930438635356668,0.0392345204669721,0,0.0577460317460317,0.0589789237925688,0.0544984615384615,0.0396025158627451,0.0217226023677637,0.0765976239200981,0.0725593270348225,0.0377703320134024
2020-06-01,0.0339818514507637,0.0077020147078021,0.0205374162208695,0.0147688060731539,0.0145045375858994,0.0262108768035516,0.0267910622011512,0.00834260289210234,0.0474624009632234,0.0471425916688673,0.045823743031047
2020-06-08,0.0197851893725269,0.00400271370420624,0,0.0176562261268144,0.0347076715106455,0.0215188866799205,0.0212132105847231,0.0105691951998238,0.033909140400693,0.0463880607704635,0.00786766791573981
2020-06-15,0.0114680585165037,0,0.00569421713038734,0.00205292189623471,0.0407216494845361,0.00753662039253231,0.0169785109766195,0.00738030074725545,0.0303967545724885,0.021034679582382,0.00619533527696793
2020-06-22,0.0077698087431694,0,0.0265306770882979,0.00414293780753408,0.0383867832847425,0.0109333333333333,0.0127935180801158,0,0.00798165635187986,0.00678382765512259,0.00901517354636742
2020-06-29,0.00364521265409536,0,0.0205867850098619,0.00529757607013925,0.0371240601503759,0.00762298256939961,0.00528561789679375,0.00261905801213497,0.00661564453834714,0.0101882963765552,0.0047652202218947
2020-07-06,0.00534696515658969,0,0.0157043445552003,0.00298257839721254,0.013986013986014,0.00716417910447761,0.0183100599577303,0.00683916562179414,0.0118511241120045,0.00675055320923603,0.00811093668236526
2020-07-13,0.0182260632704768,0.00584467045304451,0.00580223750955458,0.0175250227479527,0.00668698154731674,0.0136844850065189,0.0142496405607398,0.00391006842619746,0.0213732151276352,0.0158386900924471,0.0123621862538119
2020-07-20,0.0106709819648678,0.00626016835255005,0.00527996458945904,0.00912579957356077,0.00324382031699105,0.0091322505800464,0.0231511074513963,0.01158972377825,0.0117035799965539,0.0132732396434767,0.00668849629404
2020-07-27,0.00620722584752507,0,0.0177924568506286,0.0159966777408638,0.0196762141967621,0.0843428571428571,0.0286817532602689,0.0100894033238979,0.0104910891089109,0.0244078345680983,0.0266380236305048
